,Date,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Name_snp
682,2015-05-01,156.79,158.09,156.79,157.68,2160149.0,MMM
683,2015-05-04,158.4,159.85,157.88,159.02,2240314.0,MMM
684,2015-05-05,158.86,159.45,157.41,157.91,1947744.0,MMM
685,2015-05-06,157.92,159.08,156.55,157.64,2203122.0,MMM
686,2015-05-07,157.23,159.2,157.23,158.61,2112923.0,MMM
687,2015-05-08,160.25,161.4,160.06,160.6,2025537.0,MMM
688,2015-05-11,160.26,161.0,159.8,159.9,1708711.0,MMM
689,2015-05-12,158.71,160.4,158.01,160.07,1864809.0,MMM
690,2015-05-13,160.43,161.74,160.36,161.31,2587859.0,MMM
691,2015-05-14,162.09,163.3,161.8,163.15,2462549.0,MMM
692,2015-05-15,163.15,163.77,162.65,163.3,1923774.0,MMM
693,2015-05-18,163.0,163.59,162.31,162.87,1748384.0,MMM
694,2015-05-19,163.07,163.59,162.55,163.12,2076094.0,MMM
695,2015-05-20,162.42,163.07,161.84,161.9,1978568.0,MMM
696,2015-05-21,161.9,162.35,161.8,162.06,2401909.0,MMM
697,2015-05-22,161.99,162.33,160.66,160.98,1822803.0,MMM
698,2015-05-26,160.98,161.32,159.04,159.59,2471109.0,MMM
699,2015-05-27,159.82,161.31,159.53,161.02,2625930.0,MMM
700,2015-05-28,160.35,160.89,159.61,160.87,1578079.0,MMM
701,2015-05-29,160.44,160.79,158.74,159.08,2880519.0,MMM
702,2015-06-01,159.1,159.76,158.57,158.98,1906559.0,MMM
703,2015-06-02,158.28,159.88,157.95,159.08,2481192.0,MMM
704,2015-06-03,159.61,160.5,158.98,160.16,2074495.0,MMM
705,2015-06-04,159.51,160.38,158.09,158.35,2237628.0,MMM
706,2015-06-05,157.5,157.97,156.97,157.08,2314771.0,MMM
707,2015-06-08,156.5,157.41,156.3,156.59,1608614.0,MMM
708,2015-06-09,156.85,158.26,156.6,156.98,1810752.0,MMM
709,2015-06-10,156.95,159.57,156.95,159.04,1758925.0,MMM
710,2015-06-11,159.12,160.36,159.0,159.86,1854228.0,MMM
711,2015-06-12,159.85,159.99,157.88,158.04,1910513.0,MMM
712,2015-06-15,157.08,157.32,155.39,155.87,2353069.0,MMM
713,2015-06-16,155.49,157.04,155.37,156.49,1729688.0,MMM
714,2015-06-17,156.6,157.59,155.75,156.95,1839387.0,MMM
715,2015-06-18,157.59,160.24,157.38,159.62,2528893.0,MMM
716,2015-06-19,159.36,159.88,158.94,158.95,3287179.0,MMM
717,2015-06-22,159.85,160.7,159.45,159.68,1447412.0,MMM
718,2015-06-23,160.41,160.87,159.51,159.84,2286400.0,MMM
719,2015-06-24,159.68,159.96,157.54,157.54,2862870.0,MMM
720,2015-06-25,157.85,158.32,155.92,155.92,2564048.0,MMM
721,2015-06-26,156.16,157.99,155.93,157.09,2625489.0,MMM
722,2015-06-29,155.92,156.44,153.92,153.95,2474976.0,MMM
723,2015-06-30,155.0,155.3,154.07,154.3,2561158.0,MMM
724,2015-07-01,156.13,156.43,154.66,155.65,1726793.0,MMM
725,2015-07-02,156.08,156.08,154.9,155.38,2022399.0,MMM
726,2015-07-06,153.89,155.58,153.83,155.08,2172154.0,MMM
727,2015-07-07,155.14,155.63,153.16,155.43,2865996.0,MMM
728,2015-07-08,154.08,154.5,152.7,152.71,2613316.0,MMM
729,2015-07-09,154.59,155.5,153.75,153.75,2069222.0,MMM
